,food_id,food_group,food_subgroup,name_scientific,description
270,389,Fruits,Tropical fruits,Artocarpus heterophyllus,"The jackfruit (alternately jack tree, jakfruit, or sometimes simply jack or jak; scientific name Artocarpus heterophyllus), is a species of tree in the Artocarpus genus of the mulberry family. It is native to parts of South and Southeast Asia, and is believed to have originated in the southwestern rain forests of India, in present-day Kerala, coastal Karnataka and Maharashtra. The jackfruit tree is well suited to tropical lowlands, and its fruit is the largest tree-borne fruit, reaching as much as 80 pounds in weight and up to 36 inches long and 20 inches in diameter. The jackfruit tree is widely cultivated in tropical regions of India, Bangladesh, Nepal, Sri Lanka, Vietnam, Thailand, Malaysia, Indonesia, and the Philippines. Jackfruit is also found in East Africa, e.g. , in Uganda, Tanzania, and Mauritius, as well as throughout Brazil and Caribbean nations such as Jamaica."
271,390,Dairy and Fat,Nuts,Castanea crenata,"Japanese Chestnut (Castanea crenata) is a species of chestnut originally native to Japan and South Korea. It is a small to medium-sized deciduous tree growing to 10-15 m tall. The leaves are similar to those of the Sweet Chestnut, though usually a little smaller, 8-19 cm long and 3-5 cm broad. The flowers of both sexes are borne in 7-20 cm long, upright catkins, the male flowers in the upper part and female flowers in the lower part. They appear in summer, and by autumn, the female flowers develop into spiny cupules containing 3-7 brownish nuts that are shed during October."
272,392,Vegetables,Tubers,Helianthus tuberosus,"The Jerusalem artichoke (Helianthus tuberosus), also called sunroot, sunchoke, earth apple or topinambour, is a species of sunflower native to eastern North America, and found from eastern Canada and Maine west to North Dakota, and south to northern Florida and Texas. It is also cultivated widely across the temperate zone for its tuber, which is used as a root vegetable."
273,394,Vegetables,Leaf vegetables,Corchorus olitorius,"Jute is a long, soft, shiny vegetable fiber that can be spun into coarse, strong threads. It is produced from plants in the genus Corchorus, which was once classified with the family Tiliaceae, more recently with Malvaceae, and has now been reclassified as belonging to the family Sparrmanniaceae. ""Jute"" is the name of the plant or fiber that is used to make burlap, Hessian or gunny cloth.
In Nigeria, leaves of Corchorus olitorius are prepared in sticky soup called ewedu together with ingredients such as sweet potato, dried small fish or shrimp. The leaves are rubbed until foamy or sticky before adding to the soup. The leaves of the Jute plant are widely used in Nigeria, to prepare a sticky soup. Amongst the Yoruba of Nigeria, the leaves are called Ewedu, and in the hausa speaking northern Nigeria, the leaves are called turgunuwa, or, lallo. The jute leaves are cut into shreds and added to the soup which would normally contain other ingredients such as meat, and/or fish, pepper, onions, and other spices. Likewise, the Lugbara of Northwestern Uganda eat the leaves as soup, locally called pala bi. Jute is also a totem for Ayivu, one of the Lugbara clans."
274,395,Vegetables,Cabbages,Brassica napus var. pabularia,"Kale or borecole is a form of cabbage, with green or purple leaves, in which the central leaves do not form a head. It is considered to be closer to wild cabbage than most domesticated forms. The species Brassica oleracea contains a wide array of vegetables, including broccoli, cauliflower, collard greens, and brussels sprouts. The cultivar group Acephala also includes spring greens and collard greens, which are extremely similar genetically."
275,396,Protein,Seaweed,Laminaria,"Kelps are large seaweeds (algae) belonging to the brown algae (Phaeophyceae) in the order Laminariales. There are about 30 different genera.
Kelp grows in underwater ""forests"" (kelp forests) in shallow oceans, and is thought to have appeared in the Miocene, 23 to 5 million years ago. The organisms require nutrient-rich water with temperatures between 6 and 14 °C (43 and 57 °F). They are known for their high growth rate ? the genera Macrocystis and Nereocystis can grow as fast as half a metre a day, ultimately reaching 30 to 80 metres (100 to 260 ft).
Through the 19th century, the word ""kelp"" was closely associated with seaweeds that could be burned to obtain soda ash (primarily sodium carbonate). The seaweeds used included species from both the orders Laminariales and Fucales. The word ""kelp"" was also used directly to refer to these processed ashes."
276,397,Protein,Fishes,Scomberomorus cavalla,"The king mackerel (Scomberomorus cavalla) is a migratory species of mackerel of the western Atlantic Ocean and Gulf of Mexico. It is an important species to both the commercial and recreational fishing industries.
The king mackerel is a medium-sized fish, typically encountered from five to 30 pounds, but is known to exceed 90 pounds. The entire body is covered with very small, hardly visible, loosely attached scales. The first (spiny) dorsal fin is entirely colorless and is normally folded back into a body groove, as are the pelvic fins. The lateral line starts high on the shoulder, dips abruptly at mid-body and then continues as a wavy horizontal line to the tail. Coloration is olive on the back, fading to silver with a rosy iridescence on the sides, fading to white on the belly. Fish under 10 pounds (5 kg) show yellowish-brown spots on the flanks, somewhat smaller than the spots of the Atlantic Spanish mackerel, Scomberomorus maculatus. Its cutting-edged teeth are large, uniform, closely spaced and flattened from side to side. These teeth look very similar to those of the bluefish, Pomatomus saltatrix."
277,398,Fruits,Tropical fruits,Fortunella,"Kumquats or cumquats are a group of small fruit-bearing trees in the flowering plant family Rutaceae, either forming the genus Fortunella, or placed within Citrus sensu lato. The edible fruit closely resembles that of the orange (Citrus sinensis), but it is much smaller and ovular, being approximately the size and shape of a large olive. The English name ""kumquat"" derives from the Cantonese pronunciation gam1 gwat1 (given in Jyutping romanization)."
278,399,Vegetables,Leaf vegetables,Chenopodium album,"Chenopodium album is a fast-growing weedy annual plant in the genus Chenopodium. Though cultivated in some regions, the plant is elsewhere considered a weed. Common names include lamb's quarters, melde, goosefoot and fat-hen, though the latter two are also applied to other species of the genus Chenopodium, for which reason it is often distinguished as white goosefoot. It is sometimes also called pigweed, although that name is often also used for Amaranthus albus. Chenopodium album is extensively cultivated and consumed in Northern India as a food crop, and in English texts it may be called by its Hindi name bathua or bathuwa."
279,401,Vegetables,Onion-family vegetables,Allium ampeloprasum,"Allium ampeloprasum is a member of the onion genus Allium. The wild plant is commonly known as wild leek or broadleaf wild leek. Its native range is southern Europe to western Asia, but it is cultivated in many other places and has become naturalized in many countries.
Allium ampeloprasum has been differentiated into three cultivated vegetables, namely leek, elephant garlic and kurrat. In tidewater Virginia, the plant is commonly known as the ""Yorktown Onion.""
Wild populations produce bulbs up to 3 cm across. Scapes are round in cross-section, each up to 180 cm tall, bearing an umbel of as many as 500 flowers. Flowers are urn-shaped, up to 6 mm across; tepals white, pink or red; anthers yellow or purple; pollen yellow."
280,402,Protein,Fishes,Molva molva,"The common ling or simply the ling, Molva molva, is a large member of a family of cod-like fishes. An ocean fish whose habitat is in the Atlantic region and can be found around Iceland, Faroe Islands, British Isles, the Norse coast and occasionally around Newfoundland, the ling has a long slender body that can reach 2 metres in length; in adulthood, it is generally a deep-running fish, spending much of its life at depths of 100 m or more; younger fish are found at shallower depths. The ling is edible; its flesh is prized and can be considered interchangeable with cod in either its fresh, salted or dried forms. The salted roe of the ling is considered a delicacy in Spain and is known as huevas de maruca. The lutefisk – ling that is first dried, then soaked in water and then steeped in a lye of soda and slaked lime – is a traditional dish at the Christmas table in Sweden, Norway and Finland."
281,403,Protein,Fishes,Ophiodon elongatus,"The lingcod, Ophiodon elongatus, or ling cod, is a fish of the greenling family Hexagrammidae. It is the only extant member of the genus Ophiodon. A slightly larger, extinct species, Ophiodon ozymandias, is known from fossils from the Late Miocene of Southern California.
Ophiodon elongatus is native to the North American west coast from Shumagin Islands in the Gulf of Alaska to Baja California, Mexico. It has been observed up to a size of 152 cm (60 in) and a weight of 59 kg (130 lbs). It is spotted in various shades of grey. The lingcod is a popular eating fish, and is thus prized by anglers. Though not closely related to either ling or cod, the name ""lingcod"" originated because it somewhat resembles those fish. The lingcod's flesh is sometimes blue-green prior to cooking."
282,404,Protein,Crustaceans,Homarus americanus,"The American lobster, Homarus americanus, is a species of lobster found on the Atlantic coast of North America, chiefly from Labrador to New Jersey. Within North America, it is also known as the northern lobster or Maine lobster. It can reach a body length of 64 cm, and a mass of over 20 kilograms, making it the heaviest crustacean in the world. Its closest relative is the European lobster Homarus gammarus, which can be distinguished by its coloration and the lack of spines on the underside of the rostrum. American lobsters are usually bluish green to brown with red spines, but a number of color variations have been observed."
283,406,Herbs and Spices,Other seeds,Nelumbo,"Nelumbo is a genus of aquatic plants with large, showy flowers resembling the water lily, but not closely related to it. It is commonly called lotus, though this name may be applied to other genera, and there is an unrelated genus Lotus. The generic name is derived from the Sinhalese word Nelum. There are only two known living species in the genus. The sacred lotus (N. nucifera) is native to Asia, and is the better known of the two. It is commonly cultivated, and also used in Chinese medicine and cooking. This species is the national flower of India and Vietnam. The American lotus (N. lutea) is native to North America and the Caribbean. Horticultural hybrids have been produced between these two geographically separated species. A third, extinct species, N. aureavallis, is known from Eocene fossils from North Dakota, United States."
284,407,Vegetables,Other vegetables,Nelumbo nucifera,"Nelumbo nucifera, known by numerous common names including Indian lotus, sacred lotus, bean of India, or simply lotus, is one of two species of aquatic plant in the family Nelumbonaceae. The Linnaean binomial Nelumbo nucifera (Gaertn.) is the currently recognized name for this species, which has been classified under the former names, Nelumbium speciosum (Willd.) and Nymphaea nelumbo, among others. Names other than Nelumbo nucifera (Gaertn.) are obsolete synonyms and should not be used in current works. This plant is an aquatic perennial. Under favorable circumstances its seeds may remain viable for many years, with the oldest recorded lotus germination being from that of seeds 1,300 years old recovered from a dry lakebed in northeastern China.
A common misconception is referring to the lotus as a water lily (Nymphaea), an entirely different plant, as can be seen in the center of the flowers. Nymphaea lacks the structure that goes on to form the distinctive circular seed pod in the Nelumbo nucifera.
Native to Tropical Asia and Queensland, Australia, it is commonly cultivated in water gardens. It is also the national flower of India and Vietnam.
The flowers, seeds, young leaves, and ""roots"" (rhizomes) are all edible."
285,408,Grains,Other pulses,Lupinus albus,"Lupinus albus, commonly known as the white lupin, is a member of the genus Lupinus in the family Fabaceae. It is a traditional pulse cultivated in the Mediterranean region.
White lupin is distinct within the vast and polymorphous genus Lupinus L. for small variation of morphological characters. However, it has wide intraspecific variability in physiological plant properties: duration of vernalization time and growth rate, photoperiodic sensitivity, shape tolerance, drought resistance, cold- and winter-hardiness. There are winter and spring forms of white lupin. Duration of growing period under spring sowing varies from 106 to 180 days, seed mass per plant changes from 2.2 to 40 g, green mass yield per from 9 to 250 g, protein content in seed from 35.0 to 53.7%, and oil content from 6.2 to 12.0%.
"
286,409,Vegetables,Leaf vegetables,Basella alba,"Basella alba, or Malabar spinach, Malabar nightshade, Alugbati or Alabati in Philippines, (also Phooi leaf, Red vine spinach, Creeping spinach, Climbing spinach, Indian spinach, Philippine Spinach, Asian Spinach) is a perennial vine found in the tropics where it is widely used as a leaf vegetable."
287,410,Fruits,Tropical fruits,Mammea americana,"The mammee apple is a berry, though it is often misinterpreted to be a drupe. It is round or slightly irregular, with a brown or grey-brown 3 mm (0.12 in) thick rind. In fact, the rind consists of the exocarp and mesocarp of the fruit, while the pulp is formed from the endocarp. The stem is thick and short. The mammee apple has more or less visible floral remnant at the apex.
Mammee apples' diameter ranges from 10 cm (3.9 in) to 20 cm (7.9 in). When unripe, the fruit is hard and heavy, but its flesh slightly softens when fully ripe. Beneath the skin, there is a white, dry membrane, whose taste is astringent, that adheres to the flesh. The flesh is orange or yellow, not fibrous, and can have various textures (crispy or juicy, firm or tender). Generally, the flesh smell is pleasant and appetizing.
Small fruits contain a single seed, while larger ones might have up to four. The seeds are brown, rough, oval and around 6 cm (2.4 in) long. The juice of the seed leaves an indelible stain."
288,413,Protein,Fishes,Chanos chanos,"The milkfish (Chanos chanos) is the sole living species in the family Chanidae. (About seven extinct species in five additional genera have been reported. ) The Hawaiian name is awa, without initial glottal stop, not to be confused with ‘awa, with initial glottal stop, the name for Kava (Piper methysticum)."
289,414,Protein,Fishes,Lophius piscatorius,"Monkfish (or headfish) is the English name of a number of types of fish in the northwest Atlantic, most notably the species of the anglerfish genus Lophius and the angelshark genus Squatina. The term is also occasionally used for a European sea monster more often called a sea monk. Monkfish is the most common English name for the genus Lophius in the northeast Atlantic but goosefish is used as the equivalent term on the eastern coast of North America. Lophius has three long filaments sprouting from the middle of the head; these are the detached and modified three first spines of the anterior dorsal fin. As in most anglerfish species, the longest filament is the first (illicium), which terminates in an irregular growth of flesh, the esca. This modified fin ray is movable in all directions. This esca is used as a lure to attract other fishes, which monkfish then typically swallow whole. Experiments have shown that whether the prey has been attracted to the lure or not is not strictly relevant, as the action of the jaws is an automatic reflex triggered by contact with the esca. It grows to a length of more than 1.5 m (5 ft); specimens of 1 m (3 ft) are common. The largest recorded specimen weighed 115 kg (253 lb) and was caught on January 7, 2012, by Frank-Rune Kopperud of Norway. The previous record holder was a specimen of 99.4 kg ."
290,416,Grains,Beans,Vigna aconitifolia,"Vigna aconitifolius, called the moth bean, mat bean, Turkish gram, is a small, drought-resistant, annual, trailing herb with small yellow flowers and deeply lobed leaves, grown especially in dry parts of South Asia for its tiny edible beans, which range in color from light brown to dark reddish brown. The sprouted beans taste somewhat sweet. Matki is very popular in Maharastrian cuisine. The beans are soaked overnight to make them sprout. These sprouted beans are used for salad, misal or usal."
291,417,Vegetables,Tubers,Dioscorea pentaphylla,"Dioscorea pentaphylla is a species of flowering plant in the yam family known by the common name fiveleaf yam. It is native to tropical Asia or eastern Polynesia, and it is present elsewhere as an introduced species. This species is a prickly vine that twines counterclockwise around objects and other plants. It may reach 10 meters in length. The alternately arranged leaves are compound, divided into 3 to 5 leaflets each up to 10 centimeters long. The plant produces horseshoe-shaped bulbils about a centimeter long. New plants can sprout from the bulbils. Flowers are borne in spikes. The vine grows from a tuber. Specimens may be 3 pounds in weight and may be located over a meter underground. The tubers of the vine can be cooked and eaten."
292,418,Protein,Fishes,Mugil cephalus,"The flathead mullet, Mugil cephalus, is a mullet of the genus Mugil in the family Mugilidae, found in coastal tropical and subtropical waters worldwide. Its length is typically 30 to 75 centimetres (to in). This species occurs worldwide, attested by other common names for this fish: Black mullet - Cuba, US Bully mullet - Australia, Vietnam Callifaver mullet - Cuba, Netherlands Antilles, US Common grey mullet - UK Common mullet - Cuba, Netherlands Antilles, US Flathead grey mullet - India, Philippines (where it's known as either aligasid or talilong), UK Flathead mullet - Europe, FAO, UN, Fishbase Grey mullet - Turkey, Australia, Taiwan, Cuba, Fiji, Hong Kong, Mauritius, Netherlands Antilles, New Zealand, Spain, Tonga, UK, US, Mediterranean, Egypt Hardgut mullet - Australia Mangrove mullet - Australia Sea mullet - Australia, Fiji, Papua New Guinea, UK Striped mullet - Australia, Cuba, Mexico, UK, US. The Striped Mullet is a mainly diurnal coastal species that often enters estuaries and rivers. The Striped Mullet usually schools over sand or mud bottoms, feeding on zooplankton. The Adult fish normally feed on algae in fresh water. The maximum size the Striped Mullet may reach is approximately 120 cm, with a max weight of about 8,000 g. The species is euryhaline meaning that the fish can acclimate to different levels of salinity; this combined with the acclimation of juveniles to high water temperatures appears to be a selective advantage."
293,420,Herbs and Spices,Spices,Sinapis alba,"White mustard (Sinapis alba) is an annual plant of the family Brassicaceae. It is sometimes also referred to as Brassica alba or B. hirta. Grown for its seeds, mustard, as fodder crop or as a green manure, it is now widespread worldwide, although it probably originated in the Mediterranean region.
White mustard seeds are hard round seeds, usually around 1 to 1.5 millimetres in diameter, with a color ranging from beige or yellow to light brown. They can be used whole for pickling or toasted for use in dishes. When ground and mixed with other ingredients, a paste or more standard condiment can be produced."
294,422,Vegetables,Leaf vegetables,Tetragonia tetragonioides,"Tetragonia tetragonioides (or previously T. expansa) is a leafy groundcover also known as New Zealand spinach, Warrigal greens, kokihi, sea spinach, Botany Bay spinach, tetragon and Cook's cabbage. It is native to New Zealand, Australia, Japan, Chile and Argentina. The species, rarely used by Maori or other indigenous people as a leaf vegetable, was first mentioned by Captain Cook. It was immediately picked, cooked, and pickled to help fight scurvy, and taken with the crew of the Endeavour. It spread when the explorer and botanist Joseph Banks took seeds back to Kew Gardens during the latter half of the 18th century. For two centuries, T. tetragonioides was the only cultivated vegetable to have originated from Australia and New Zealand. The species prefers a moist environment for growth. The plant has a trailing habit, and will form a thick carpet on the ground or climb though other vegetation and hang downwards. The leaves of the plant are 3–15 cm long, triangular in shape, and bright green. The leaves are thick, and covered with tiny papillae that look like waterdrops on the top and bottom of the leaves. The flowers of the plant are yellow, and the fruit is a small, hard pod covered with small horns. The plant is a halophyte and grows well in saline ground."
295,423,Vegetables,Other vegetables,Opuntia cochenillifera,"Nopales (for the pads) are a vegetable made from the young cladode (pad) segments of prickly pear, carefully peeled to remove the spines. These fleshy pads are flat and about hand-sized. They can be purple or green. They are particularly common in their native Mexico, where the plant is eaten commonly and regularly forms part of a variety of Mexican cuisine dishes. Farmed nopales are most often of the species Opuntia ficus-indica, although the pads of almost all Opuntia species are edible. Nopales are generally sold fresh in Mexico. In more recent years bottled, or canned versions are available mostly for export. Less often dried versions are available. Used to prepare nopalitos, they have a light, slightly tart flavor, like green beans, and a crisp, mucilaginous texture. In most recipes the mucilaginous liquid they contain is included in the cooking. They are at their most tender and juicy in the spring. Nopales are most commonly used in Mexican cuisine in dishes such as huevos con nopales, carne con nopales (meat with nopal), tacos de nopales, or simply on their own or in salads with queso panela (panela cheese). Candied nopale is called acitróne. Nopales have also grown to be an important ingredient in New Mexican cuisine and in Tejano culture (Texas)."
296,424,Protein,Fishes,Zoarces americanus,"The ocean pout (Zoarces americanus) is an eelpout in the family Zoarcidae. It is found in the Northwest Atlantic Ocean, off the coast of New England and eastern Canada. The fish has antifreeze proteins in its blood, giving it the ability to survive in near-freezing waters. Scientists have done studies wherein genes are taken from the ocean pout and implanted into salmon in an attempt to make the latter grow faster. These genes transfer the ocean pout's tolerance for extremely cold waters to the salmon, allowing it to grow year-round. The promoter for the antifreeze protein gene is also used in conjunction with the growth hormone taken from a chinook salmon, which leads to a higher concentration of the growth hormone in the blood; causing the genetically modified salmon to grow much more rapidly than it would naturally. Controversy has arisen, as some view the altered fish as a potential threat to wild salmon stocks if it escapes or is ever released into the wild. Chefs and grocers in numerous US states have agreed not to sell the new fish over these concerns, citing concerns over its safety for human consumption. In June 2006 the Unilever company announced that it would use genetically modified yeast to grow antifreeze proteins based on a gene from the ocean pout, and use it to improve the consistency and storage properties of its ice cream brands."
297,427,Vegetables,Other vegetables,Abelmoschus esculentus,"Okra, known in many English-speaking countries as lady's fingers, bhindi or gumbo, is a flowering plant in the mallow family. It is valued for its edible green seed pods. The geographical origin of okra is disputed, with supporters of South Asian, Ethiopian and West African origins. The plant is cultivated in tropical, subtropical and warm temperate regions around the world."
298,432,Protein,Fishes,Clupea pallasii,"The Pacific herring, Clupea pallasii, is a species of the herring family associated with the Pacific Ocean environment of North America and northeast Asia. It is a silvery fish with unspined fins and a deeply forked caudal fin. The distribution is widely along the California coast from Baja California north to Alaska and the Bering Sea; in Asia the distribution is south to Japan. Clupea pallasii is considered a keystone species because of its very high productivity and interactions with a large number of predators and prey. Pacific herring spawn in variable seasons, but often in the early part of the year in intertidal and sub-tidal environments, commonly on eelgrass or other submerged vegetation; however, they do not die after spawning, but can breed in successive years. According to government sources, the Pacific herring fishery collapsed in the year 1993, and is slowly recovering to commercial viability in several North American stock areas. The species is named for Peter Simon Pallas, a noted German naturalist and explorer. There are disjunct populations of Clupea pallasii in North-East Europe, which are often attributed to separate subspecies Clupea pallasii marisalbi (White Sea herring) and Clupea pallasii suworowi (Chosha herring)."
299,433,Protein,Mollusks,Crassostrea gigas,"The Pacific oyster, Japanese oyster or Miyagi oyster (Crassostrea gigas), is an oyster native to the Pacific coast of Asia. It has become an introduced species in North America, Australia, Europe, and New Zealand.
The shell of Crassostrea gigas varies widely with the environment where it is attached. Its large, rounded, radial folds are often extremely rough and sharp. The two valves of the shell are slightly different in size and shape, the right valve being moderately concave. Shell colour is variable, usually pale white or off-white. Mature specimens can vary from 80 mm to 400 mm long."
300,434,Protein,Fishes,Sebastes,"Sebastes is a genus of fish in the family Sebastidae (though some include this in Scorpaenidae), most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead. Most of the Sebastes species live in the north Pacific, although two (S. capensis and S. oculatus) live in the south Pacific/Atlantic and four (S. fasciatus, S. mentella, S. norvegicus and S. viviparus) live in the north Atlantic. The coast off South California is the area of highest rockfish diversity, with 56 species living in the Southern California Bight."
301,436,Vegetables,Fruit vegetables,Capsicum annuum var. annuum,"Capsicum frutescens is a species of chili pepper that is sometimes considered to be part of the species Capsicum annuum. Pepper cultivars in Capsicum frutescens can be annual or short-lived perennial plants. Flowers are white with a greenish white or greenish yellow corolla, and are either insect- or self-pollinated. The plants' berries typically grow erect; ellipsoid-conical to lanceoloid shaped. They are usually very small and pungent, growing 10?20mm long and 3?7mm in diameter. Fruit typically grows a pale yellow and matures to a bright red, but can also be other colors. C. frutescens has a smaller variety of shapes compared to other Capsicum species, likely because of the lack of human selection. More recently, however, C. frutescens has been bred to produce ornamental strains, because of its large quantities of erect peppers growing in colorful ripening patterns."
302,437,Fruits,Tropical fruits,Diospyros virginiana,"Diospyros virginiana is a persimmon species commonly called the American Persimmon, Common Persimmon, Eastern Persimmon, ""'Simmon"", ""Possumwood"", or ""Sugar-plum"". It ranges from southern Connecticut/Long Island to Florida, and west to Texas, Louisiana, Oklahoma, and Kansas. The tree grows wild but has been cultivated for its fruit and wood since prehistoric times by Native Americans.
The fruit is round or oval and usually orange-yellow and sometimes bluish and from 2 through 6 cm (0.79 through 2.4 in) in diameter. In the U.S. South and Midwest, the fruits are referred to as simply Persimmons or ""'Simmons"", and are popular in desserts and cuisine."
303,439,Protein,Fishes,Esox lucius,"The northern pike (Esox lucius), known simply as a pike in Britain, Ireland, Canada, and most parts of the USA, also called jackfish or simply ""northern"" in the Upper Midwest of the USA), is a species of carnivorous fish of the genus Esox (the pikes). They are typical of brackish and fresh waters of the Northern Hemisphere (i.e. holarctic in distribution). Pike grow to a relatively large size; lengths of 150 cm (59 in) and weights of 25 kg (55 lb) are not rare. The average length is about 70-120 cm (28-47 in). The heaviest specimen known so far was caught in 1983 at an abandoned stone quarry in Germany, where the species is known as a Hecht. She (the majority of all pikes over 8 kg or 18 lb are females) was 147 cm (58 in) long and weighed 31 kg (68 lb). The longest pike ever recorded and confirmed was 152 cm (60 in) long and weighed 28 kg (62 lb). A pike of 60.5 in (154 cm) was caught and released in May 2004 in Apisko Lake, Manitoba. Historic reports of giant pike, caught in nets in Ireland in the late 19th century, of 41-42 kg (90-93 lb) with a length of 173-175 cm (67-68 in), were researched by Fred Buller and published in The Domesday Book of Mammoth Pike. "
304,440,Dairy and Fat,Nuts,Canarium ovatum,"Canarium ovatum, commonly known as pili, is a species of tropical tree belonging to the genus Canarium. It is one of approximately 600 species in the family Burseraceae. Pili are native to maritime Southeast Asia, Papua New Guinea, and Northern Australia. They are commercially cultivated in the Philippines for their edible nuts.
The pili fruit is a drupe, 4 to 7 cm (1.6 to 2.8 in) long, 2.3 to 3.8 cm (0.91 to 1.50 in) in diameter, and weighs 15.7 to 45.7 g (0.035 to 0.101 lb). The skin (exocarp) is smooth, thin, shiny, and turns purplish black when the fruit ripens; the pulp (mesocarp) is fibrous, fleshy, and greenish yellow in color, and the hard shell (endocarp) within protects a normally dicotyledonous embryo. The basal end of the shell (endocarp) is pointed and the apical end is more or less blunt; between the seed and the hard shell (endocarp) is a thin, brownish, fibrous seed coat developed from the inner layer of the endocarp. This thin coat usually adheres tightly to the shell and/or the seed. Much of the kernel weight is made up of the cotyledons, which are about 4.1 to 16.6% of the whole fruit; it is composed of approximately 8% carbohydrate, 11.5 to 13.9% protein, and 70% fat. Kernels from some trees may be bitter, fibrous or have a turpentine odor."
305,441,Dairy and Fat,Nuts,Pinus edulis,"Pinus edulis, the Colorado pinyon, two-needle pinyon, or piñon pine, is a pine in the pinyon pine group whose ancestor was a member of the Madro-Tertiary Geoflora (a group of drought resistant trees) and is native to the United States.
The cones are globose, 3 centimetres (1.2 in) to 5 centimetres (2.0 in) long and broad when closed, green at first, ripening yellow-buff when 18?20 months old, with only a small number of thick scales, with typically 5-10 fertile scales. The cones open to 4 centimetres (1.6 in) - 6 centimetres (2.4 in) broad when mature, holding the seeds on the scales after opening. The seeds are 10 millimetres (0.39 in) to 14 millimetres (0.55 in) long, with a thin shell, a white endosperm, and a vestigial 1 millimetre (0.039 in) - 2 millimetres (0.079 in) wing; they are dispersed by the Pinyon Jay, which plucks the seeds out of the open cones. The jay, which uses the seeds as a food resource, stores many of the seeds for later use, and some of these stored seeds are not used and are able to grow into new trees."
306,442,Fruits,Tropical fruits,Eugenia uniflora,"The Pitanga, Surinam Cherry, Brazilian Cherry, or Cayenne Cherry (Eugenia uniflora) is a plant in the family Myrtaceae, native to tropical South America's east coast ranging from Suriname to southern Brazil, as well as parts of Paraguay and Uruguay. Known as Pitanga throughout Brazil or Ñangapirí in surrounding countries, The plant is relatively pest resistant, easy to grow and high in antioxidants. The Surinam Cherry is often used in gardens as a hedge or screen. The tree was introduced to Bermuda for ornamental purposes but is now out of control and listed as an invasive species.
Flowers develop into ribbed fruits 2 to 4 cm in diameter, starting out as green, then ranging through orange, scarlet and maroon as they ripen."
307,444,Fruits,Tropical fruits,Musa X paradisiaca,"Musa × paradisiaca is the accepted name for the hybrid between Musa acuminata and Musa balbisiana. Most cultivated bananas and plantains are triploid cultivars either of this hybrid or of M.  acuminata. Linnaeus originally used the name M.  paradisiaca only for plantains or cooking bananas, but the modern usage includes hybrid cultivars used both for cooking and as dessert bananas."
308,447,Herbs and Spices,Spices,Papaver somniferum,"Papaver somniferum, the Opium poppy, is the species of plant from which opium and poppy seeds are derived. Opium is the source of many narcotics, including morphine (and its derivative heroin), thebaine, codeine, papaverine, and noscapine. The Latin botanical name means the ""sleep-bringing poppy"", referring to the sedative properties of some of these opiates.
The poppy is the only species of Papaveraceae that is an agricultural crop grown on a large scale. Other species, Papaver rhoeas and Papaver argemone, are important agricultural weeds, and may be mistaken for the crop.
The plant itself is also valuable for ornamental purposes, and has been known as the ""common garden poppy"", referencing all the group of poppy plants.
Poppy seeds of Papaver somniferum are an important food item and the source of poppyseed oil, a healthy edible oil that has many uses."
309,448,Vegetables,Root vegetables,Pediomelum esculentum,"Psoralea esculenta (prairie turnip) is an herbaceous perennial plant native to prairies and dry woodlands of central North America, which bears a starchy tuberous root edible as a root vegetable. The plant is also known as Pediomelum esculenta. English names for the plant include tipsin, teepsenee, breadroot, breadroot scurf pea, and pomme blanche. The prairie turnip was a staple food of the Plains Indians. A closely related species, Psoralea hypogaea, the little breadroot, is also edible, although the plant and root are smaller. Another species, Psoralea argophylla, was probably harvested for food only in times of famine."
310,449,Fruits,Tropical fruits,Opuntia,"Opuntia, also known as nopales or paddle cactus, is a genus in the cactus family, Cactaceae. Currently, only prickly pears are included in this genus of about 200 species distributed throughout most of the Americas. Chollas are now separated into the genus Cylindropuntia, which some still consider a subgenus of Opuntia. Austrocylindropuntia, Corynopuntia, and Micropuntia are also often included in the present genus, but like Cylindropuntia, they seem rather distinct. Brasiliopuntia and Miqueliopuntia are closer relatives of Opuntia.
The most common culinary species is the Indian fig opuntia (O. ficus-indica). Most culinary uses of the term ""prickly pear"" refer to this species. Prickly pears are also known as tuna (fruit) or nopal (paddle, plural nopales) from the Nahuatl word n?palli for the pads, or nostle, from the Nahuatl word n?chtli for the fruit; or paddle cactus.
The genus is named for the Ancient Greek city of Opus, where, according to Theophrastus, an edible plant grew which could be propagated by rooting its leaves."
311,450,Herbs and Spices,Other seeds,Chenopodium quinoa,"Quinoa, a species of goosefoot, is a grain-like crop grown primarily for its edible seeds. It is a pseudocereal rather than a true cereal, or grain, as it is not a member of the true grass family. As a chenopod, quinoa is closely related to species such as beets, spinach and tumbleweeds."
312,453,Protein,Fishes,Osmerus mordax,"The rainbow smelt, Osmerus mordax, is a species of fish of the family Osmeridae. Its distribution is circumpolar, and it has been introduced to the Great Lakes, and from there has made its way to various other places. Walleye, trout, and other larger fish prey on these smelt. The rainbow smelt prefer juvenile ciscoes, zooplankton, and other small organisms. They are anadromous spring spawners and prefer clean streams with light flow and light siltation. The rainbow smelt face several barriers. They are weak swimmers and cannot overcome most fish ladders. This prevents them from making it past the dams to the headwater streams where they spawn. The rise in erosion and dams help to decimate the smelt population in the 1980s. There are currently plans to try to reduce damming and to help control erosion. With current efforts to reduce the human impact on this and many other affected species the population is back on the rise."
